"birthplace","year","nativity","country_code","total_population"
"Hong Kong","2015","Foreign born","HKG",45843
"India","2015","Foreign born","IND",168175
"Indonesia","2015","Foreign born","IDN",5693
"Iran","2015","Foreign born","IRN",19547
"Iraq","2015","Foreign born","IRQ",6616
"Israel","2015","Foreign born","ISR",33523
"Japan","2015","Foreign born","JPN",28536
"Jordan","2015","Foreign born","JOR",4545
"Korea","2015","Foreign born",,96148
"Kazakhstan","2015","Foreign born","KAZ",5093
"Kuwait","2015","Foreign born","KWT",2180
"Laos","2015","Foreign born","LAO",1896
"Lebanon","2015","Foreign born","LBN",6484
"Malaysia","2015","Foreign born","MYS",11462
"Nepal","2015","Foreign born","NPL",11659
"Pakistan","2015","Foreign born","PAK",76419
"Philippines","2015","Foreign born","PHL",100907
"Saudi Arabia","2015","Foreign born","SAU",2966
"Singapore","2015","Foreign born","SGP",4330
"Sri Lanka","2015","Foreign born","LKA",6796
"Syria","2015","Foreign born","SYR",6046
"Taiwan","2015","Foreign born","TWN",29068
"Thailand","2015","Foreign born","THA",12412
"Turkey","2015","Foreign born","TUR",20997
"United Arab Emirates","2015","Foreign born","ARE",1518
"Uzbekistan","2015","Foreign born","UZB",33041
"Vietnam","2015","Foreign born","VNM",25131
"Yemen","2015","Foreign born","YEM",11320
"Asia","2015","Foreign born",,3380
"South Central Asia, not specified","2015","Foreign born",,4538
"Other Asia, not specified","2015","Foreign born",,1502
"Bermuda","2015","Foreign born","BMU",899
"Canada","2015","Foreign born","CAN",53079
"Mexico","2015","Foreign born","MEX",232820
"Belize","2015","Foreign born","BLZ",5297
"Costa Rica","2015","Foreign born","CRI",7298
"El Salvador","2015","Foreign born","SLV",114492
"Guatemala","2015","Foreign born","GTM",63367
"Honduras","2015","Foreign born","HND",49040
"Nicaragua","2015","Foreign born","NIC",12393
"Panama","2015","Foreign born","PAN",20101
"Antigua & Barbuda","2015","Foreign born","ATG",7896
"Bahamas","2015","Foreign born","BHS",1627
"Barbados","2015","Foreign born","BRB",22728
"Cuba","2015","Foreign born","CUB",26156
"Dominica","2015","Foreign born","DMA",11764
"Dominican Republic","2015","Foreign born","DOM",504492
"Grenada","2015","Foreign born","GRD",19393
"Haiti","2015","Foreign born","HTI",131024
"Jamaica","2015","Foreign born","JAM",236307
"St Lucia","2015","Foreign born","LCA",8127
"St Vincent & the Grenadines","2015","Foreign born","VCT",15358
"Trinidad & Tobago","2015","Foreign born","TTO",99948
"West Indies","2015","Foreign born",,12842
"Caribbean, Not Specified","2015","Foreign born",,9851
"Argentina","2015","Foreign born","ARG",18049
"Bolivia","2015","Foreign born","BOL",4650
"Brazil","2015","Foreign born","BRA",20713
"Chile","2015","Foreign born","CHL",8336
"Colombia","2015","Foreign born","COL",103821
"Ecuador","2015","Foreign born","ECU",187513
"Guyana","2015","Foreign born","GUY",161723
"Paraguay","2015","Foreign born","PRY",2418
"Peru","2015","Foreign born","PER",58945
"Uruguay","2015","Foreign born","URY",5930
"Venezuela","2015","Foreign born","VEN",11279
"South America","2015","Foreign born",,2835
"Americas, not specified","2015","Foreign born",,1413
"Algeria","2015","Foreign born","DZA",3312
"Cameroon","2015","Foreign born","CMR",940
"Congo","2015","Foreign born","COG",428
"Egypt","2015","Foreign born","EGY",25569
"Ethiopia","2015","Foreign born","ETH",2662
"Eritrea","2015","Foreign born","ERI",734
"Gambia","2015","Foreign born","GMB",3188
"Ghana","2015","Foreign born","GHA",27950
"Guinea","2015","Foreign born","GIN",3696
"Kenya","2015","Foreign born","KEN",4864
"Liberia","2015","Foreign born","LBR",3542
"Libya","2015","Foreign born","LBY",143
"Morocco","2015","Foreign born","MAR",8903
"Nigeria","2015","Foreign born","NGA",35317
"Senegal","2015","Foreign born","SEN",9801
"Sierra Leone","2015","Foreign born","SLE",2746
"Somalia","2015","Foreign born","SOM",3948
"South Africa","2015","Foreign born","ZAF",5382
"Sudan","2015","Foreign born","SDN",3779
"Tanzania","2015","Foreign born","TZA",1903
"Togo","2015","Foreign born","TGO",3469
"Uganda","2015","Foreign born","UGA",747
"Democratic Republic of Congo (Zaire)","2015","Foreign born","COD",2482
"Zambia","2015","Foreign born","ZMB",1903
"Zimbabwe","2015","Foreign born","ZWE",1063
"Africa","2015","Foreign born",,15761
"Eastern Africa, not specified","2015","Foreign born",,1244
"Northern Africa, not specified","2015","Foreign born",,2208
"Western Africa, not specified","2015","Foreign born",,10194
"Other Africa, not specified","2015","Foreign born",,2681
"Australia","2015","Foreign born","AUS",10508
"Fiji","2015","Foreign born","FJI",122
"Micronesia","2015","Foreign born","KSM",601
"New Zealand","2015","Foreign born","NZL",2902
"Tonga","2015","Foreign born","TON",222
"Other U.S. Island Areas, Oceania, Not Specified, or at Sea","2015","Foreign born",,594
"Albania","2014","Foreign born","ALB",27605
"Austria","2014","Foreign born","AUT",8055
"Belgium","2014","Foreign born","BEL",5316
"Bulgaria","2014","Foreign born","BGR",5418
"Czechoslovakia","2014","Foreign born",,2217
"Denmark","2014","Foreign born","DNK",2531
"Finland","2014","Foreign born","FIN",667
"France","2014","Foreign born","FRA",23275
"Germany","2014","Foreign born","DEU",47487
"Greece","2014","Foreign born","GRC",30073
"Hungary","2014","Foreign born","HUN",9930
"Iceland","2014","Foreign born","ISL",463
"Ireland","2014","Foreign born","IRL",26935
"Italy","2014","Foreign born","ITA",97733
"Netherlands","2014","Foreign born","NLD",5640
"Norway","2014","Foreign born","NOR",2072
"Poland","2014","Foreign born","POL",76448
"Portugal","2014","Foreign born","PRT",11417
"Romania","2014","Foreign born","ROU",21837
"Spain","2014","Foreign born","ESP",11770
"Sweden","2014","Foreign born","SWE",4968
"Switzerland","2014","Foreign born","CHE",6146
"United Kingdom, not specified","2014","Foreign born","GBR",29190
"England","2014","Foreign born",,27118
"Scotland","2014","Foreign born",,4318
"Yugoslavia","2014","Foreign born",,6682
"Czech Republic","2014","Foreign born","CZE",2522
"Slovakia","2014","Foreign born","SVK",3620
"Bosnia and Herzegovina","2014","Foreign born","BIH",7703
"Croatia","2014","Foreign born","HRV",6410
"Macedonia","2014","Foreign born","MKD",5704
"Serbia","2014","Foreign born","SRB",3352
"Latvia","2014","Foreign born","LVA",3712
"Lithuania","2014","Foreign born","LTU",3094
"Armenia","2014","Foreign born","ARM",3146
"Azerbaijan","2014","Foreign born","AZE",8522
"Belarus","2014","Foreign born","BLR",14243
"Georgia (country)","2014","Foreign born","GEO",5955
"Moldova","2014","Foreign born","MDA",7004
"Russia","2014","Foreign born","RUS",79661
"Ukraine","2014","Foreign born","UKR",82678
"USSR","2014","Foreign born",,9477
"Montenegro","2014","Foreign born","MNE",10404
"Other Europe, not specified","2014","Foreign born",,6070
"Afghanistan","2014","Foreign born","AFG",8872
"Bangladesh","2014","Foreign born","BGD",94794
"Bhutan","2014","Foreign born","BTN",5803
"Myanmar","2014","Foreign born","MMR",10979
"Cambodia","2014","Foreign born","KHM",2771
"China","2014","Foreign born","CHN",385277
"Cyprus","2014","Foreign born","CYP",1837
"Hong Kong","2014","Foreign born","HKG",41300
"India","2014","Foreign born","IND",159897
"Indonesia","2014","Foreign born","IDN",7383
"Iran","2014","Foreign born","IRN",20510
"Iraq","2014","Foreign born","IRQ",5426
"Israel","2014","Foreign born","ISR",34697
"Japan","2014","Foreign born","JPN",29563
"Jordan","2014","Foreign born","JOR",3029
"Korea","2014","Foreign born",,86263
"Kazakhstan","2014","Foreign born","KAZ",3566
"Kuwait","2014","Foreign born","KWT",926
"Laos","2014","Foreign born","LAO",3311
"Lebanon","2014","Foreign born","LBN",5430
"Malaysia","2014","Foreign born","MYS",9788
"Nepal","2014","Foreign born","NPL",14236
"Pakistan","2014","Foreign born","PAK",69088
"Philippines","2014","Foreign born","PHL",90850
"Saudi Arabia","2014","Foreign born","SAU",2178
"Singapore","2014","Foreign born","SGP",2975
"Sri Lanka","2014","Foreign born","LKA",4297
"Syria","2014","Foreign born","SYR",5390
"Taiwan","2014","Foreign born","TWN",29928
"Thailand","2014","Foreign born","THA",14565
"Turkey","2014","Foreign born","TUR",20860
"United Arab Emirates","2014","Foreign born","ARE",1103
"Uzbekistan","2014","Foreign born","UZB",22264
"Vietnam","2014","Foreign born","VNM",20546
"Yemen","2014","Foreign born","YEM",16920
"Asia","2014","Foreign born",,3065
"South Central Asia, not specified","2014","Foreign born",,3006
"Other Asia, not specified","2014","Foreign born",,1393
"Bermuda","2014","Foreign born","BMU",484
"Canada","2014","Foreign born","CAN",55306
"Mexico","2014","Foreign born","MEX",255140
"Belize","2014","Foreign born","BLZ",8018
"Costa Rica","2014","Foreign born","CRI",7320
"El Salvador","2014","Foreign born","SLV",114769
"Guatemala","2014","Foreign born","GTM",61438
"Honduras","2014","Foreign born","HND",50545
"Nicaragua","2014","Foreign born","NIC",7407
"Panama","2014","Foreign born","PAN",20844
"Antigua & Barbuda","2014","Foreign born","ATG",9079
"Bahamas","2014","Foreign born","BHS",1942
"Barbados","2014","Foreign born","BRB",25171
"Cuba","2014","Foreign born","CUB",25133
"Dominica","2014","Foreign born","DMA",10093
"Dominican Republic","2014","Foreign born","DOM",480389
"Grenada","2014","Foreign born","GRD",22364
"Haiti","2014","Foreign born","HTI",126491
"Jamaica","2014","Foreign born","JAM",241868
"St Lucia","2014","Foreign born","LCA",11443
"St Vincent & the Grenadines","2014","Foreign born","VCT",16105
"Trinidad & Tobago","2014","Foreign born","TTO",91698
"West Indies","2014","Foreign born",,12360
"Caribbean, Not Specified","2014","Foreign born",,11721
"Argentina","2014","Foreign born","ARG",22494
"Bolivia","2014","Foreign born","BOL",5135
"Brazil","2014","Foreign born","BRA",21924
"Chile","2014","Foreign born","CHL",10806
"Colombia","2014","Foreign born","COL",100177
"Ecuador","2014","Foreign born","ECU",176165
"Guyana","2014","Foreign born","GUY",164059
"Paraguay","2014","Foreign born","PRY",6599
"Peru","2014","Foreign born","PER",55208
"Uruguay","2014","Foreign born","URY",6377
"Venezuela","2014","Foreign born","VEN",14304
"South America","2014","Foreign born",,3067
"Americas, not specified","2014","Foreign born",,1383
"Algeria","2014","Foreign born","DZA",3515
"Cameroon","2014","Foreign born","CMR",1628
"Cabo Verde","2014","Foreign born","CPV",374
"Congo","2014","Foreign born","COG",959
"Egypt","2014","Foreign born","EGY",25118
"Ethiopia","2014","Foreign born","ETH",5846
"Eritrea","2014","Foreign born","ERI",433
"Gambia","2014","Foreign born","GMB",3758
"Ghana","2014","Foreign born","GHA",31867
"Guinea","2014","Foreign born","GIN",6988
"Kenya","2014","Foreign born","KEN",3336
"Liberia","2014","Foreign born","LBR",5987
"Libya","2014","Foreign born","LBY",939
"Morocco","2014","Foreign born","MAR",10509
"Nigeria","2014","Foreign born","NGA",31197
"Senegal","2014","Foreign born","SEN",7019
"Sierra Leone","2014","Foreign born","SLE",1971
"Somalia","2014","Foreign born","SOM",1468
"South Africa","2014","Foreign born","ZAF",5157
"Sudan","2014","Foreign born","SDN",1254
"Tanzania","2014","Foreign born","TZA",3097
"Togo","2014","Foreign born","TGO",2434
"Uganda","2014","Foreign born","UGA",1434
"Democratic Republic of Congo (Zaire)","2014","Foreign born","COD",2555
"Zambia","2014","Foreign born","ZMB",559
"Zimbabwe","2014","Foreign born","ZWE",1310
"Africa","2014","Foreign born",,12594
"Eastern Africa, not specified","2014","Foreign born",,3639
"Northern Africa, not specified","2014","Foreign born",,1843
"Western Africa, not specified","2014","Foreign born",,9770
"Other Africa, not specified","2014","Foreign born",,2965
"Australia","2014","Foreign born","AUS",9179
"Fiji","2014","Foreign born","FJI",282
"Marshall Islands","2014","Foreign born","MHL",334
"Micronesia","2014","Foreign born","KSM",543
"New Zealand","2014","Foreign born","NZL",2278
"Other U.S. Island Areas, Oceania, Not Specified, or at Sea","2014","Foreign born",,1098
