"group","subgroup","occupation","year","workforce"
"Management, Business, Science, & Arts Occupations","Management, Business, & Financial Occupations","Business & Financial Operations Occupations","2017",247729
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Computer & Mathematical Occupations","2017",115665
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Architecture & Engineering Occupations","2017",42351
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Life, Physical, & Social Science Occupations","2017",33221
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Community & Social Service Occupations","2017",90553
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Legal Occupations","2017",81047
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Education Instruction, & Library Occupations","2017",257358
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Arts, Design, Entertainment, Sports, & Media Occupations","2017",205446
"Management, Business, Science, & Arts Occupations","Healthcare Practitioners & Technical Occupations","Health Diagnosing & Treating Practitioners & Other Technical Occupations","2017",158090
"Management, Business, Science, & Arts Occupations","Healthcare Practitioners & Technical Occupations","Health Technologists & Technicians","2017",65934
"Service Occupations","Service Occupations","Healthcare Support Occupations","2017",208693
"Service Occupations","Service Occupations","Food Preparation & Serving Related Occupations","2017",239638
"Service Occupations","Service Occupations","Building & Grounds Cleaning & Maintenance Occupations","2017",183437
"Service Occupations","Service Occupations","Personal Care & Service Occupations","2017",210312
"Service Occupations","Protective Service Occupations","Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2017",72458
"Service Occupations","Protective Service Occupations","Law Enforcement Workers Including Supervisors","2017",41005
"Sales & Office Occupations","Sales & Office Occupations","Sales & Related Occupations","2017",389845
"Sales & Office Occupations","Sales & Office Occupations","Office & Administrative Support Occupations","2017",503560
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Farming, Fishing, & Forestry Occupations","2017",3126
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Construction & Extraction Occupations","2017",181551
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Installation, Maintenance, & Repair Occupations","2017",72889
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Production Occupations","2017",96997
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Transportation Occupations","2017",197835
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Material Moving Occupations","2017",60805
"Management, Business, Science, & Arts Occupations","Management, Business, & Financial Occupations","Management Occupations","2016",432482
"Management, Business, Science, & Arts Occupations","Management, Business, & Financial Occupations","Business & Financial Operations Occupations","2016",230531
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Computer & Mathematical Occupations","2016",113335
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Architecture & Engineering Occupations","2016",41592
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Life, Physical, & Social Science Occupations","2016",34372
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Community & Social Service Occupations","2016",88615
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Legal Occupations","2016",85755
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Education Instruction, & Library Occupations","2016",246499
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Arts, Design, Entertainment, Sports, & Media Occupations","2016",193595
"Management, Business, Science, & Arts Occupations","Healthcare Practitioners & Technical Occupations","Health Diagnosing & Treating Practitioners & Other Technical Occupations","2016",155476
"Management, Business, Science, & Arts Occupations","Healthcare Practitioners & Technical Occupations","Health Technologists & Technicians","2016",55120
